state_name,state_code,region,maturity_level,num_facilities,incarcerated_pop,annual_it_budget_est_millions,education_programs_count,second_chance_pell,current_tech_summary,key_opportunities,procurement_cycle
Alabama,AL,Southeast,1,27,26000,3.2,4,Yes,Basic face-to-face education with limited digital tools in select facilities,Network infrastructure; endpoint deployment; offline LMS implementation,October
Alaska,AK,West,1,12,4300,1.8,3,No,Minimal technology in education programs across remote facilities,Full technology stack buildout; remote access solutions for rural locations,July
Arizona,AZ,West,2,16,37000,5.1,6,Yes,Some facilities have offline networks with shared desktop computers,Expand to managed student laptops; VPN for educators; LMS standardization,July
Arkansas,AR,Southeast,0,18,16000,2.1,2,No,Correspondence courses only with limited face-to-face instruction,Complete digital transformation; network buildout; endpoint procurement,July
California,CA,West,3,34,97000,28.5,22,Yes,Multiple facilities with offline LMS and VPN access for remote educators,Expand video conferencing statewide; standardize platform across all 34 facilities,July
Colorado,CO,West,3,23,17000,6.8,12,Yes,Offline networks with remote educator access deployed in most major facilities,Video conferencing expansion; content management system; device refresh,July
Connecticut,CT,Northeast,3,14,9200,4.2,8,Yes,Advanced offline LMS with VPN educator access in majority of facilities,Full LMS integration across all sites; expand course catalog technology,July
Delaware,DE,Northeast,2,7,4500,1.9,4,Yes,Offline student networks operational in select larger facilities,Expand network coverage to all facilities; add remote access capabilities,July
Florida,FL,Southeast,2,56,80000,15.3,14,Yes,Mixed deployment - some offline networks but highly inconsistent across 56 facilities,Massive standardization opportunity; centralized endpoint management at scale,July
Georgia,GA,Southeast,1,34,47000,7.2,6,Yes,Face-to-face education with basic shared computer labs in larger facilities,Network infrastructure; managed student laptops; offline LMS deployment,July
Hawaii,HI,West,1,4,3800,1.4,3,No,Limited face-to-face programs in small facility system,Full technology buildout; networking infrastructure; managed endpoints,July
Idaho,ID,West,1,10,9200,2.3,3,No,Basic shared computer labs in select facilities only,Offline network deployment; LMS platform; student laptop program,July
Illinois,IL,Midwest,2,28,27000,8.1,10,Yes,Offline student networks deployed in larger facilities; gaps in smaller sites,Expand to all 28 facilities; add VPN and video conferencing capabilities,July
Indiana,IN,Midwest,2,20,24000,5.4,7,Yes,Offline networks operational in approximately half of facilities,Expansion and standardization across full system; remote educator access,October
